Latitude,Longitude,Rainfall,GW_Recharge,GW_Extraction,Extraction_Stage_Perc,Prev_GW,GW_Level
23.76722,72.73028,764.9,114939.73,125396.49,114.84,32.6,31.7
23.84,72.66,764.9,114939.73,125396.49,114.84,61.6,53.6
23.84722,72.66944,764.9,114939.73,125396.49,114.84,10.0,3.4
23.83528,72.58167,764.9,114939.73,125396.49,114.84,21.75,22.0
23.87,72.79,764.9,114939.73,125396.49,114.84,12.7,11.5
23.56,72.75,764.9,114939.73,125396.49,114.84,40.7,40.5
23.58,72.59,764.9,114939.73,125396.49,114.84,100.1,102.3
23.73,72.71,764.9,114939.73,125396.49,114.84,61.1,58.2
23.65,72.66,764.9,114939.73,125396.49,114.84,81.6,80.5
23.56,72.55,764.9,114939.73,125396.49,114.84,89.1,89.4
23.64,72.8,764.9,114939.73,125396.49,114.84,89.2,79.6
23.69559,72.81661,764.9,114939.73,125396.49,114.84,38.4,38.1
23.6,72.79444,764.9,114939.73,125396.49,114.84,10.9,10.5
23.68,72.72,764.9,114939.73,125396.49,114.84,44.94,43.94
23.68028,72.71528,764.9,114939.73,125396.49,114.84,18.1,19.1
23.55472,72.61889,764.9,114939.73,125396.49,114.84,12.2,15.0
23.53051,72.60969,764.9,114939.73,125396.49,114.84,97.3,100.05
23.53041,72.60969,764.9,114939.73,125396.49,114.84,152.95,154.8
23.59,72.68,764.9,114939.73,125396.49,114.84,101.5,102.3
23.59056,72.67889,764.9,114939.73,125396.49,114.84,11.1,11.1
23.75,72.79,764.9,114939.73,125396.49,114.84,34.1,34.05
23.53,72.79,764.9,114939.73,125396.49,114.84,78.2,76.7
23.70056,72.55,764.9,114939.73,125396.49,114.84,2.3,1.5
23.7,72.62,764.9,114939.73,125396.49,114.84,87.0,85.9
23.71,72.38,764.9,114939.73,125396.49,114.84,10.1,9.7
23.68111,72.3675,764.9,114939.73,125396.49,114.84,7.2,5.4
23.70742,72.37534,764.9,114939.73,125396.49,114.84,6.8,6.3
23.725,72.38333,764.9,114939.73,125396.49,114.84,8.4,7.8
23.72583,72.35972,764.9,114939.73,125396.49,114.84,7.0,6.7
23.77556,72.51361,764.9,114939.73,125396.49,114.84,5.6,4.8
23.74,72.6,764.9,114939.73,125396.49,114.84,10.1,4.5
